county,cofips,bkg00,bkg09
"Broomfield, Colorado",08001,080010085151,080140085151
"Broomfield, Colorado",08001,080010085161,080140085161
"Broomfield, Colorado",08001,080010085162,080140085162
"Broomfield, Colorado",08001,080010085163,080140085163
"Broomfield, Colorado",08001,080010085164,080140085164
"Broomfield, Colorado",08001,080010085201,080140085201
"Broomfield, Colorado",08001,080010085202,080140085202
"Broomfield, Colorado",08001,080010085271,080140085271
"Broomfield, Colorado",08001,080010085272,080140085272
"Broomfield, Colorado",08001,080010085282,080140085282
"Broomfield, Colorado",08001,080010085283,080140085283
"Broomfield, Colorado",08059,080590098251,080140098251
"Broomfield, Colorado",08013,080130131041,080140131041
"Broomfield, Colorado",08013,080130131042,080140131042
"Broomfield, Colorado",08013,080130131062,080140131062
"Broomfield, Colorado",08013,080130131064,080140131064
"Broomfield, Colorado",08013,080130131071,080140131071
"Broomfield, Colorado",08013,080130131072,080140131072
"Broomfield, Colorado",08013,080130131073,080140131073
"Broomfield, Colorado",08013,080130131081,080140131081
"Broomfield, Colorado",08013,080130131082,080140131082
"Broomfield, Colorado",08013,080130131083,080140131083
"Broomfield, Colorado",08013,080130131091,080140131091
"Broomfield, Colorado",08013,080130131092,080140131092
"Broomfield, Colorado",08013,080130131101,080140131101
"Broomfield, Colorado",08013,080130131102,080140131102
"Broomfield, Colorado",08013,080130131111,080140131111
"Broomfield, Colorado",08013,080130131112,080140131112
"Wilson, Texas",48493,484939804021,484930004021
"Alleghany, Virginia",51560,515600701001,510050701001
"Alleghany, Virginia",51560,515600701002,510050701002
"Alleghany, Virginia",51560,515600701003,510050701003
"Alleghany, Virginia",51560,515600701004,510050701004
